# ell Cl_VV
2.000000000000000000e+00 1.419353619871770763e-11
3.000000000000000000e+00 1.392192834460298789e-11
4.000000000000000000e+00 1.390569684795557890e-11
6.000000000000000000e+00 1.378222888343264559e-11
9.000000000000000000e+00 1.389118631987318687e-11
1.200000000000000000e+01 1.415161320965065961e-11
1.600000000000000000e+01 1.426172006778490376e-11
2.200000000000000000e+01 1.431675611442265517e-11
3.100000000000000000e+01 1.431301180764729006e-11
4.200000000000000000e+01 1.429074229035021303e-11
5.700000000000000000e+01 1.425566476526693105e-11
7.700000000000000000e+01 1.420400645606364521e-11
1.050000000000000000e+02 1.413989587091500046e-11
1.420000000000000000e+02 1.411675289644632875e-11
1.930000000000000000e+02 1.412044464745941352e-11
2.620000000000000000e+02 1.403628896391250497e-11
3.550000000000000000e+02 1.362831587342624393e-11
4.820000000000000000e+02 1.270392529770412920e-11
6.530000000000000000e+02 1.108025671651101455e-11
8.860000000000000000e+02 8.611960818314892757e-12
1.202000000000000000e+03 5.416069331537514512e-12
1.630000000000000000e+03 2.493362045653013776e-12
2.211000000000000000e+03 2.709966777572652641e-13
3.000000000000000000e+03 1.125630973758805397e-14
